name,address,province,city,区县,lng,lat,keyword,type
浙江大学医学院附属邵逸夫医院(庆春院区),庆春东路3号,浙江省,杭州市,上城区,120.202351,30.256376,医院,hospital
浙江省眼科医院杭州院区,凤起东路618号,浙江省,杭州市,上城区,120.214993,30.263573,医院,hospital
杭州孙泰和凤起东路中医门诊部,凤起东路与顺福路交叉口裙楼第二层2-1,浙江省,杭州市,上城区,120.21045,30.263629,医院,hospital
杭州市上城区采荷街道社区卫生服务中心,双菱路16-18,浙江省,杭州市,上城区,120.195759,30.253081,医院,hospital
四季青街道社区卫生服务中心,江中路1号五楼预防接种登记对面,浙江省,杭州市,上城区,120.213473,30.262948,医院,hospital
杭州市第三人民医院,小营街道西湖大道38号(城站地铁站C口步行210米),浙江省,杭州市,上城区,120.1778,30.246445,医院,hospital
浙江大学医学院附属第一医院城站院区,城站路58号(城站地铁站C口步行160米),浙江省,杭州市,上城区,120.181872,30.246484,医院,hospital
浙江大学医学院附属第二医院(解放路院区),小营街道解放路88号,浙江省,杭州市,上城区,120.177439,30.251172,医院,hospital
浙江康复医院城东院区,观音塘路103号,浙江省,杭州市,上城区,120.201669,30.242276,医院,hospital
浙江大学医学院附属第一医院(庆春院区),庆春路79号,浙江省,杭州市,上城区,120.177825,30.25592,医院,hospital
杭州市红十字会医院仁爱院区,环城东路208号,浙江省,杭州市,拱墅区,120.187065,30.265493,医院,hospital
浙江省青春医院,庆春东路54号(庆菱路地铁站A1口步行230米),浙江省,杭州市,上城区,120.196133,30.258174,医院,hospital
浙江省中山医院(庆春院区),庆春路23号中医大厦2层,浙江省,杭州市,上城区,120.184243,30.257645,医院,hospital
上城区凯旋街道社区卫生服务中心,景芳三区60幢,浙江省,杭州市,上城区,120.203856,30.269041,医院,hospital
杭州仁易堂,秋涛北路85号,浙江省,杭州市,上城区,120.19969,30.262521,医院,hospital
杭州中兴医院,望江街道秋涛路264(婺江路地铁站D口步行330米),浙江省,杭州市,上城区,120.189155,30.234583,医院,hospital
浙江大学校医院华家池分院,凤起东路69号,浙江省,杭州市,上城区,120.196589,30.264178,医院,hospital
上城区望江街道社区卫生服务中心,映霞街160号,浙江省,杭州市,上城区,120.181695,30.237452,医院,hospital
浙江大学医学院附属第二医院(解放路院区)急诊中心,解放路88号,浙江省,杭州市,上城区,120.177297,30.250783,医院,hospital
浙江大学医学院附属第一医院(大学路院区),老浙大直路17号,浙江省,杭州市,上城区,120.185327,30.255512,医院,hospital
杭州佳业康复医院,秋涛北路68号(庆春广场地铁站B3口步行330米),浙江省,杭州市,上城区,120.201034,30.258641,医院,hospital
西湖大学医学院附属杭州市第一人民医院(湖滨院区),浣纱路261号,浙江省,杭州市,上城区,120.166749,30.255273,医院,hospital
兴隆社区卫生服务站,婺江家园三园3幢4号201、3幢2号(一楼),浙江省,杭州市,上城区,120.196779,30.239342,医院,hospital
浙江省中医院湖滨院区,邮电路54号,浙江省,杭州市,上城区,120.1659,30.252314,医院,hospital
杭州医博医院(肛肠胃肠),中河中路166号主楼一层部分二层三层及附楼,浙江省,杭州市,上城区,120.172283,30.25237,医院,hospital
杭州广仁医院,新塘路327号,浙江省,杭州市,上城区,120.207994,30.281073,医院,hospital
武警浙江省总队医院,江南大道(江陵路地铁站A口步行170米),浙江省,杭州市,滨江区,120.215159,30.210149,医院,hospital
小营街道社区卫生服务中心,民生路13号,浙江省,杭州市,上城区,120.173964,30.247995,医院,hospital
