Feature_Group,Model,Num_Features,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,MAE_Level,Features
完整特征,DecisionTree,6,0.6153846153846154,0.5833333333333333,0.5666666666666667,0.5523809523809524,0.46153846153846156,经度、纬度、健康特征、家庭支持、医疗资源、养老资源
仅群体需求特征,DecisionTree,2,0.6153846153846154,0.55,0.5666666666666667,0.5333333333333333,0.5384615384615384,健康特征、家庭支持
去掉资源特征,DecisionTree,4,0.5384615384615384,0.4966666666666667,0.5,0.4714285714285714,0.6923076923076923,经度、纬度、健康特征、家庭支持
去掉地理特征,DecisionTree,4,0.5384615384615384,0.4,0.4666666666666666,0.4222222222222222,0.5384615384615384,健康特征、家庭支持、医疗资源、养老资源
去掉家庭支持,DecisionTree,5,0.46153846153846156,0.3833333333333333,0.4,0.3904761904761905,0.5384615384615384,经度、纬度、健康特征、医疗资源、养老资源
去掉健康特征,DecisionTree,5,0.5384615384615384,0.35,0.4666666666666666,0.38476190476190475,0.6923076923076923,经度、纬度、家庭支持、医疗资源、养老资源
仅资源供给特征,DecisionTree,2,0.46153846153846156,0.35,0.4,0.37142857142857144,0.7692307692307693,医疗资源、养老资源
仅地理特征,DecisionTree,2,0.3076923076923077,0.2,0.26666666666666666,0.22222222222222224,1.7692307692307692,经度、纬度
去掉地理特征,RandomForest,4,0.6153846153846154,0.6133333333333333,0.5666666666666667,0.5666666666666667,0.46153846153846156,健康特征、家庭支持、医疗资源、养老资源
完整特征,RandomForest,6,0.6153846153846154,0.4333333333333333,0.5333333333333333,0.47619047619047616,0.46153846153846156,经度、纬度、健康特征、家庭支持、医疗资源、养老资源
去掉健康特征,RandomForest,5,0.6153846153846154,0.4333333333333333,0.5333333333333333,0.47619047619047616,0.46153846153846156,经度、纬度、家庭支持、医疗资源、养老资源
去掉资源特征,RandomForest,4,0.5384615384615384,0.4866666666666667,0.5,0.46428571428571425,1.0,经度、纬度、健康特征、家庭支持
去掉家庭支持,RandomForest,5,0.5384615384615384,0.4133333333333333,0.4666666666666666,0.4333333333333333,0.46153846153846156,经度、纬度、健康特征、医疗资源、养老资源
仅资源供给特征,RandomForest,2,0.5384615384615384,0.4,0.4666666666666666,0.42857142857142855,0.6153846153846154,医疗资源、养老资源
仅群体需求特征,RandomForest,2,0.46153846153846156,0.4333333333333333,0.4333333333333333,0.4276190476190476,0.9230769230769231,健康特征、家庭支持
仅地理特征,RandomForest,2,0.07692307692307693,0.1,0.06666666666666667,0.08,2.6923076923076925,经度、纬度
