区县,经度,纬度,健康特征,家庭支持,医疗资源,养老资源,资源供给指数,need_score,need_level,资源错配指数,配置优先级
建德市,119.33640716304348,29.463854945652173,1.7187336544225829,0.3719064682799581,41,12,0.04216867469879518,0.3922712636098444,3,0.3501025889110492,Ⅲ类：潜在短板区
淳安县,118.90534752238806,29.613327701492537,1.6381746012284604,0.4104938011150856,43,15,0.07238631947143412,0.1562761997557483,1,0.08388988028431418,Ⅲ类：潜在短板区
富阳区,119.91017785128204,30.015038256410257,1.6790318074322368,0.414204474505877,72,26,0.24844539448115038,0.3239411388728522,2,0.07549574439170181,Ⅲ类：潜在短板区
西湖区,120.09553844736844,30.238267484962407,1.6654493270968136,0.40387637508405,82,47,0.4479207151185387,0.4973791134451154,3,0.04945839832657667,Ⅰ类：优先补齐资源
萧山区,120.30920288983052,30.15101890466102,1.6544420963208155,0.3748639975647716,181,74,0.963855421686747,1.0,4,0.03614457831325302,Ⅱ类：高需求关注
临安区,119.60787731205674,30.221652992907803,1.653585261510106,0.4195614034915721,66,23,0.20617955693742712,0.2389285934583636,2,0.03274903652093647,Ⅳ类：常规优化
余杭区,119.99779100380228,30.317937148288973,1.6481423535111928,0.4178497755703904,82,35,0.3511465215701516,0.3479806075125489,2,-0.0031659140576026923,Ⅳ类：常规优化
钱塘区,120.4263055,30.300728675675675,1.6445349759067716,0.4310996929733898,59,17,0.13670812281383599,0.1280080323407777,0,-0.00870009047305828,Ⅳ类：常规优化
滨江区,120.1941948952381,30.1868522,1.598075536168134,0.4222853838662974,42,20,0.10969685192382433,0.0854756838620462,0,-0.02422116806177814,Ⅳ类：常规优化
拱墅区,120.1602583615635,30.30546903583062,1.6301585591898848,0.4053238288266305,133,60,0.7063738826272833,0.6468044205387814,4,-0.05956946208850189,Ⅱ类：高需求关注
上城区,120.20314735040432,30.27091023989218,1.658080731485652,0.4019159249805473,193,68,0.9516129032258065,0.8851841129444153,4,-0.06642879028139115,Ⅱ类：高需求关注
桐庐县,119.65181246987952,29.82416839759036,1.64083075015687,0.4479603720834966,27,21,0.07258064516129033,0.0,0,-0.07258064516129033,Ⅳ类：常规优化
临平区,120.258041708,30.415122064,1.6489860445031868,0.4488193895965823,80,32,0.3209288767975126,0.1974814340985879,1,-0.12344744269892469,Ⅳ类：常规优化
