communityID,区县
0101041,富阳区
0101042,钱塘区
0101043,萧山区
0102061,桐庐县
0102062,临安区
0102063,临安区
0102331,上城区
0102332,西湖区
0102333,桐庐县
0104461,萧山区
0104462,上城区
0104463,钱塘区
0104511,萧山区
0104512,临平区
0104513,临安区
0140311,临安区
0140312,余杭区
0140313,拱墅区
0140511,富阳区
0140512,余杭区
0140513,桐庐县
0146431,临安区
0146432,余杭区
0146433,余杭区
0182061,建德市
0182062,萧山区
0182063,临平区
0304761,拱墅区
0304762,桐庐县
0304763,上城区
0311061,桐庐县
0311062,临安区
0311063,上城区
0340431,钱塘区
0340432,钱塘区
0340433,萧山区
0346761,余杭区
0346762,上城区
0346763,萧山区
0467461,富阳区
0467462,上城区
0467463,拱墅区
0516061,上城区
0516062,西湖区
0516063,临平区
0540541,滨江区
0540542,余杭区
0540543,拱墅区
0542491,拱墅区
0542492,临安区
0542493,钱塘区
0560431,萧山区
0560432,西湖区
0560433,西湖区
0560591,桐庐县
0560592,西湖区
0560593,上城区
0563021,临平区
0563022,上城区
0563023,余杭区
0563461,富阳区
0563462,临平区
0563463,萧山区
0566041,余杭区
0566042,余杭区
0566043,拱墅区
0574571,临安区
0574572,萧山区
0574573,上城区
0576331,钱塘区
0576332,萧山区
0576333,临平区
0582021,上城区
0582022,萧山区
0582023,萧山区
0586591,萧山区
0586592,萧山区
0586593,上城区
0604401,余杭区
0604402,上城区
0604403,西湖区
0604811,淳安县
0604812,余杭区
0604813,上城区
0640281,余杭区
0640282,余杭区
0640283,萧山区
0640331,淳安县
0640332,西湖区
0640333,建德市
0646041,上城区
0646042,萧山区
0646043,萧山区
0655461,拱墅区
0655462,萧山区
0655463,拱墅区
0724281,拱墅区
0724282,富阳区
0724283,上城区
0740021,上城区
0740022,上城区
0740023,淳安县
0740041,余杭区
0740042,拱墅区
0740043,西湖区
0740571,临平区
0740572,富阳区
0740573,萧山区
0746311,临平区
0746312,上城区
0746313,余杭区
0749811,临安区
0749812,西湖区
0749813,萧山区
0753761,淳安县
0753762,西湖区
0753763,萧山区
0755041,临平区
0755042,西湖区
0755043,拱墅区
0782331,萧山区
0782332,西湖区
0782333,余杭区
0940041,上城区
0940042,临平区
0940043,富阳区
1017911,萧山区
1017912,西湖区
1017913,上城区
1040041,拱墅区
1040042,富阳区
1040043,临平区
1051021,上城区
1051022,余杭区
1051023,西湖区
1053811,余杭区
1053812,拱墅区
1053813,萧山区
1082061,余杭区
1082062,钱塘区
1082063,钱塘区
1082593,临平区
1101311,拱墅区
1101312,余杭区
1101313,余杭区
1111541,上城区
1111542,桐庐县
1111543,拱墅区
